[2025-11-04 01:03:21] [CLI][Flow][error] No fue posible comunicarse con Flow: Could not resolve host: sandbox.flow.cl
[2025-11-05 23:02:10] [Flow][error] Flow rechazó la solicitud (2002): The optional parameter is too long
[2025-11-05 23:09:06] [Flow][storage-error] {"message":"No fue posible almacenar la transacción Flow localmente.","error":"No fue posible escribir la transacción Flow en /var/www/homenet.cl/www/pagos_new/app/storage/flow/7f19cd14d82ada19df2761a454655798557d3ecd006cf551dfd44d6548143b60.json.","token":"AA52C151EAFC5348BFB003CA234C6FAA7B9808EJ"}
[2025-11-06 13:48:35] [Flow][error] Flow rechazó la solicitud (2002): The optional parameter is too long
[2025-11-08 23:25:51] [Flow][error] Flow rechazó la solicitud (2002): The optional parameter is too long
[2025-11-08 23:26:36] [Flow][error] Flow rechazó la solicitud (2002): The optional parameter is too long
[2025-11-08 23:27:01] [Flow][error] Flow rechazó la solicitud (2002): The optional parameter is too long
[2025-11-08 23:27:17] [Flow][error] Flow rechazó la solicitud (2002): The optional parameter is too long
[2025-11-08 23:28:31] [Flow][error] Flow rechazó la solicitud (2002): The optional parameter is too long
[2025-11-08 23:30:19] [Flow][error] Flow rechazó la solicitud (2002): The optional parameter is too long
[2025-11-08 23:35:11] [Flow][error] Flow rechazó la solicitud (2002): The optional parameter is too long
[2025-11-10 12:08:42] [Flow][error] Flow rechazó la solicitud (1620): The userEmail: jhjhjhjg@hdhhd.com is not valid.
[2025-11-10 21:47:35] [Flow][error] Flow rechazó la solicitud (1620): The userEmail: admin@mail.com is not valid.
